min_cluster_size,min_samples,n_neighbors,min_dist,n_components,num_topics,outlier_ratio,silhouette_score,composite_score
30,15,10,0.1,5,8,0.05646954201867497,0.4365740716457367,0.6066939925340453
30,10,10,0.1,5,8,0.0609159626500667,0.4369790554046631,0.605319988004575
50,5,10,0.1,5,2,0.009782125389061804,0.5223605036735535,0.6016384827669274
40,5,10,0.1,5,2,0.009782125389061804,0.5223605036735535,0.6016384827669274
40,15,10,0.1,5,7,0.0706980880391285,0.45331913232803345,0.59924927873392
50,15,10,0.1,5,7,0.0706980880391285,0.45331913232803345,0.59924927873392
50,10,10,0.1,5,7,0.07514450867052024,0.4540692865848541,0.5980306009285022
40,10,10,0.1,5,7,0.07514450867052024,0.4540692865848541,0.5980306009285022
50,5,15,0.25,5,2,0.020898176967541128,0.5090252757072449,0.5917470121296208
40,5,15,0.25,5,2,0.020898176967541128,0.5090252757072449,0.5917470121296208
30,10,15,0.25,5,2,0.0213428190306803,0.5090887546539307,0.5916199529335308
40,10,15,0.25,5,2,0.0213428190306803,0.5090887546539307,0.5916199529335308
50,10,15,0.25,5,2,0.0213428190306803,0.5090887546539307,0.5916199529335308
50,15,15,0.25,5,2,0.022232103156958647,0.5090929865837097,0.5913106078577338
30,15,15,0.25,5,2,0.022232103156958647,0.5090929865837097,0.5913106078577338
40,15,15,0.25,5,2,0.022232103156958647,0.5090929865837097,0.5913106078577338
50,5,10,0.25,5,2,0.020453534904401955,0.47974708676338196,0.5787274518269812
40,5,10,0.25,5,2,0.020453534904401955,0.47974708676338196,0.5787274518269812
50,10,10,0.25,5,2,0.03868385949310805,0.4906846582889557,0.5772687454074422
40,10,10,0.25,5,2,0.03868385949310805,0.4906846582889557,0.5772687454074422
30,10,10,0.25,5,2,0.03868385949310805,0.4906846582889557,0.5772687454074422
30,15,10,0.25,5,11,0.3094708759448644,0.49000081419944763,0.572185559809049
20,10,10,0.25,5,2,0.0,0.3790879249572754,0.5405895662307739
20,5,10,0.25,5,2,0.0,0.3790879249572754,0.5405895662307739
20,15,10,0.25,5,2,0.0,0.3790879249572754,0.5405895662307739
40,15,10,0.25,5,7,0.1956425077812361,0.40406423807144165,0.533354029408716
30,5,10,0.25,5,10,0.20453534904401957,0.3418191075325012,0.5322312262242187
50,15,10,0.25,5,6,0.21520675855935972,0.40128397941589355,0.5152554252413761
20,10,15,0.25,5,4,0.0017785682525566918,0.20461712777614594,0.4814552086108709
